SECTION_ID,SONG_ID,PART,BPM,KEY,SECTION_ORDER
983,649,Prechorus,102.0,B Major,4
984,649,Chorus,102.0,C# Major,5
985,650,Full Song,101.0,C Major,1
986,651,Verse,81.5,B Major,1
987,651,Prechorus,81.5,D Major,2
988,651,Chorus,81.5,B Major,3
989,652,Full Song,91.0,D# Major,1
990,653,Full Song,120.0,D# Major,1
991,654,Full Song,122.0,A Major,1
992,655,Verse,85.5,F Major,1
993,655,Chorus,85.5,G Major,2
994,656,Full Song,77.5,B Major,1
995,657,Full Song,118.0,nan,1
996,658,Full Song,124.0,A Major,1
997,659,Full Song,99.0,F# Major,1
998,660,Full Song,87.0,E Major,1
999,661,Full Song,84.0,F Major,1
1000,662,Full Song,108.0,C# Major,1
1001,663,Full Song,82.5,D# Major,1
1002,664,Full Song,131.0,A Major,1
1003,665,Verse,80.0,F# Major,1
1004,665,Chorus,80.0,A Major,2
1005,666,Full Song,90.0,F Major,1
1006,667,Full Song,75.0,F Major,1
1007,668,Full Song,80.0,E Major,1
1008,669,Full Song,135.0,F Major,1
1009,670,Full Song,138.0,C Major,1
1010,671,Full Song,134.0,B Major,1
1011,672,Full Song,102.5,C Major,1
1012,673,Full Song,106.0,F Major,1
1013,674,Full Song,116.0,D Major,1
1014,675,Full Song,85.0,D# Major,1
1015,676,Full Song,75.0,D Major,1
1016,677,Verse,92.5,F Major,1
1017,677,Chorus,92.5,G# Major,2
1018,678,Verse,75.0,A# Major,1
1019,678,Prechorus,75.0,G Major,2
1020,678,Chorus,75.0,A# Major,3
1021,679,Verse,85.0,C Major,1
1022,679,Chorus,85.0,G Major,2
1023,680,Full Song,128.0,G Major,1
1024,681,Full Song,95.0,F Major,1
1025,682,Verse,112.0,F# Major,1
1026,682,Chorus,112.0,G Major,2
1027,682,Bridge,112.0,D# Major,3
1028,683,Full Song,70.0,F Major,1
1029,684,Full Song,120.0,E Major,1
1030,685,Full Song,96.0,C Major,1
1031,686,Full Song,116.0,A Major,1
1032,687,Full Song,84.5,E Major,1
1033,688,Full Song,78.0,F Major,1
1034,689,Full Song,73.5,F Major,1
1035,690,Full Song,88.0,F# Major,1
1036,691,Full Song,75.0,F Major,1
1037,692,Full Song,76.0,C Major,1
1038,693,Full Song,92.0,F# Major,1
1039,694,Full Song,95.0,G# Major,1
1040,695,Full Song,80.0,D# Major,1
1041,696,Verse,96.0,A Major,1
1042,696,Chorus,96.0,C Major,2
1043,697,Verse,130.0,A Major,1
1044,697,Chorus,130.0,A Major,2
1045,697,Last Chorus,130.0,A# Major,3
1046,698,Full Song,124.0,F Major,1
1047,699,Full Song,95.0,A# Major,1
1048,700,Full Song,75.0,G Major,1
1049,701,Full Song,88.0,E Major,1
1050,702,Verse,93.5,F Major,1
1051,702,Prechorus,93.5,D# Major,2
1052,702,Chorus,93.5,F Major,3
1053,703,Full Song,87.5,F Major,1
1054,704,Full Song,133.0,G# Major,1
1055,705,Verse,90.0,G# Major,1
1056,705,Chorus,90.0,D# Major,2
1057,706,Full Song,87.5,D Major,1
1058,707,Full Song,90.0,A Major,1
1059,708,Full Song,100.0,E Major,1
1060,709,Full Song,87.5,F# Major,1
1061,710,Full Song,104.0,A# Major,1
