ID,TITLE,BPM,KEY,PART,ARTIST,TYPE,ORIGIN,YEAR,SEASON
2265,abnormalize,80,A# Major,,Ling Tosite Sigure,Anime,Psycho-Pass,2012,
2266,Chime,77,A Major,,Ai Otsuka,Anime,Fruits Basket (2019),2019,
2273,Unraveling Love,114,G Major,,,Anime,,2023,
2275,TRISTAR (Remix),124,E Major,,,Anime,,2022,
2280,NEVER SAY GOODBYE,102,F# Major,,,Anime,,2022,
2289,Haru,102,D Major,,,Anime,,2024,
2290,Kaze Fukeba Tsukiyo no Hate ni,84,D# Major,,AOP,Anime,Tsugu Tsugumomo,2020,
2293,Bursty Greedy Spider,89,A Major,,,Anime,,2021,
2297,Refrain Boy,95,C# Major,,,Anime,,,
2300,Abyss,115,G# Major,,,Anime,,2024,
2318,Kago no Naka ni Tori,81,D Major,,,Anime,,2020,
2329,Move The Soul,120,G Major,,,Anime,,2022,
2333,Yasashii Kibou,79.5,G Major,,Saori Hayami,Anime,Snow White with the Red Hair,2015,
2335,URL,128,C Major,,,Anime,,2023,
2337,Anthlopos,91,C# Major,,,Anime,,2023,
2339,IGNITE,85.5,C Major,,Eir Aoi,Anime,Sword Art Online II,2014,
2343,Found & Lost,104,E Major,,,Anime,,,
2346,Chikatto Chika Chika,89,D Major,,,Anime,,,
2348,TRY-RY-RY,132,C# Major,,,Anime,,2023,
2354,Extra Revolution,96.5,B Major,,,Anime,,,
2356,Iris,129,C Major,,,Anime,,,
2362,New Challenger,91,B Major,,,Anime,,2021,
2372,Mimei no Kimi to,120,C# Major,,,Anime,,,
2376,Seize The Day,122,D# Major,,,Anime,,2021,
2377,Scrap & Build,128,G# Major,,,Anime,,2023,
2378,Lilac,75,A# Major,,,Anime,,2024,
2379,Kizuna no kiseki,85,A# Major,,,Anime,,2023,
2385,Nakimushi.,76,E Major,,Miku Sawai,Anime,You and Me.,2011,
2386,Rightfully,91,G# Major,,,Anime,,,
2388,LEVEL,88.5,D Major,,,Anime,,2022,
2390,Inochibi,152,G# Major,,,Anime,,2023,
2391,GO CRY GO,101,F Major,,,Anime,,,
2392,Uraomote Aquarium,75,G# Major,,,Anime,,2024,
2394,Entertainment,151,C Major,,,Anime,,2023,
2396,R.I.P.,96,G Major,,,Anime,,2023,
2398,Dramatic Market Ride,85.5,C Major,,Aya Suzaki,Anime,Tamako Market,2013,
2401,Nemuresareta Line,135,F Major,,,Anime,,2023,
2402,Wakaranai Ai,90,C# Major,,,Anime,,2024,
2404,Upside down Magic,90,F# Major,,,Anime,,2024,
2409,Now On Air,74,C# Major,,,Anime,,2024,
2420,Sora ni Utaeba,102,E Major,,,Anime,,,
2423,Kokoro Knock,115,D# Major,,,Anime,,,
2428,Kaika,88,A Major,,,Anime,,2022,
2431,Eien no Aria,82,A Major,,,Anime,,2021,
2435,Kigeki,88,E Major,,,Anime,,2022,
2439,Welcome to Chaos!,92.5,E Major,,,Anime,,,
